,NA,PN,ND,NG,NNum,VO,NRc,VS,glot
IE.GERMANIC.BRABANTIC,1,0,1,0,1,-,0,1,Indo-European
Aus.PAMA_NYUNGAN.DYIRBAL,0,-,1,1,0,1,0,1,Pama-Nyungan
AA.BIU_MANDARA.TERA_PIDLIMDI,0,0,0,0,0,0,0,1,Afro-Asiatic
An.OCEANIC.TEOP,0,0,0,0,1,0,0,1,Austronesian
TNG.MEK.EIPOMEK,1,1,-,1,0,1,1,1,Nuclear_Trans_New_Guinea
An.OCEANIC.SOUTH_EFATE_ERAKOR,0,0,0,0,0,0,0,1,Austronesian
ESu.SURMIC.TENNET,0,-,0,0,0,0,0,0,Surmic
Dra.SOUTH_CENTRAL_DRAVIDIAN.TELUGU,1,1,1,1,1,1,1,1,Dravidian
Tot.TOTONACAN.TEPEHUA_HUEHUETLA,1,0,1,0,1,0,0,0,Totonacan
Cho.CHOCO.NORTHERN_EMBERA,0,1,1,1,0,1,0,1,Chocoan
Tup.TUPI_GUARANI.EMERILLON,0,1,1,1,1,1,0,1,Tupian
IE.GERMANIC.ENGLISH,1,0,1,-,1,0,0,1,Indo-European
An.ENGGANO.ENGGANO,0,0,0,0,-,0,0,1,Austronesian
Cho.CHOCO.EPENA_SAIJA,0,1,1,1,0,1,-,1,Chocoan
IE.IRANIAN.TAJIK,0,0,1,0,1,1,0,1,Indo-European
An.OCEANIC.TAHITIAN,0,0,1,-,-,0,0,0,Austronesian
HM.HMONG_MIEN.HMONG_NJUA,0,0,0,1,1,0,0,1,Hmong-Mien
NC.GBAYA_MANZA_NGBAKA.GBEYA,1,0,0,0,0,0,0,1,Atlantic-Congo
Sal.CENTRAL_SALISH.SQUAMISH,1,0,1,0,1,0,-,0,Salishan
IE.ROMANCE.SPANISH,0,0,1,0,1,0,0,-,Indo-European
Hai.HAIDA.HAIDA,0,1,1,1,0,1,-,1,Haida
AA.LOWLAND_EAST_CUSHITIC.SOMALI,0,-,-,-,1,1,0,1,Afro-Asiatic
An.OCEANIC.HALIA_2,0,0,0,0,1,0,0,1,Austronesian
An.OCEANIC.SOBEI,0,0,0,1,0,0,0,1,Austronesian
ESu.KULIAK.TEPES,0,0,0,0,0,0,0,0,Kuliak
WP.HATAM.HATAM,0,0,0,1,0,0,0,1,Hatam-Mansim
AA.WEST_CHADIC.HAUSA,1,0,-,0,0,0,0,1,Afro-Asiatic
An.OCEANIC.HAWAIIAN_2,0,0,1,0,1,0,0,0,Austronesian
AA.BIU_MANDARA.HDI,0,0,-,0,0,0,0,0,Afro-Asiatic
AA.SEMITIC.HEBREW,0,0,0,0,1,0,0,1,Afro-Asiatic
IE.INDIC.HINDI,1,1,1,1,1,1,-,1,Indo-European
An.OCEANIC.SINAUGORO,0,1,1,1,0,1,1,1,Austronesian
NDe.ATHAPASKAN.SARCEE,0,1,1,1,1,1,0,1,Athapaskan-Eyak-Tlingit
AuA.BAHNARIC.SRE,0,0,0,0,1,0,0,1,Austroasiatic
An.MALAYO_SUMBAWAN.SUNDANESE,0,0,0,0,1,0,0,1,Austronesian
An.OCEANIC.NGGELA,0,0,0,0,1,0,0,0,Austronesian
Krt.KARTVELIAN.GEORGIAN,1,1,1,1,1,1,0,1,Kartvelian
IE.GERMANIC.STANDARD_GERMAN,1,0,1,0,1,-,0,1,Indo-European
An.SOUTH_HALMAHERA_WEST_NEW_GUINEA.EAST_MAKIAN,0,0,0,1,0,0,0,1,Austronesian
IE.GERMANIC.JAMTLANDIC,1,0,1,1,1,0,0,1,Indo-European
NC.BANTOID.SWAHILI,0,0,0,0,0,0,0,1,Atlantic-Congo
Sav.SAVOSAVO.SAVOSAVO,1,1,1,1,1,1,1,1,Savosavo
NC.GUR.SENOUFO_SUPYIRE,0,1,1,1,0,1,-,1,Atlantic-Congo
Slk.SULKA.SULKA,0,0,0,-,0,0,0,1,Sulka
TNG.MADANG.SUROI,0,1,0,1,0,1,0,1,Nuclear_Trans_New_Guinea
An.OCEANIC.GUMAWANA,0,1,0,1,0,1,-,1,Austronesian
AuA.MUNDA.SANTALI,1,1,1,1,1,1,-,1,Austroasiatic
NC.CROSS_RIVER.GOKANA,1,0,0,0,1,0,0,1,Atlantic-Congo
Arw.NORTHERN_ARAWAKAN.GARIFUNA,0,0,0,0,1,0,0,0,Arawakan
IE.GREEK.GREEK,1,0,1,0,1,0,0,-,Indo-European
EA.ESKIMO.WEST_GREENLANDIC,0,1,-,1,0,1,0,1,Eskimo-Aleut
AA.BIU_MANDARA.GUDE,1,0,-,0,0,0,0,0,Afro-Asiatic
ST.MAHAKIRANTI.KHAM,1,1,1,1,1,1,1,1,Sino-Tibetan
ESu.NILOTIC.KARIMOJONG,0,0,0,0,0,0,0,0,Nilotic
An.OCEANIC.TIGAK,0,0,0,0,1,0,0,1,Austronesian
UA.AZTECAN.NAHUATL_POMARO_AQUILA,0,0,1,-,1,0,0,0,Uto-Aztecan
EBH.EAST_BIRDS_HEAD.MEYAH,0,0,0,1,0,0,0,1,East_Bird's_Head
ST.KUKI_CHIN.MEITEI,-,1,0,1,0,1,1,1,Sino-Tibetan
Alg.ALGONQUIAN.MENOMINEE,-,-,1,1,1,-,0,-,Algic
Alt.MONGOLIC.MONGUOR,1,1,1,1,1,1,1,1,Mongolic
NC.BANTOID.LOMONGO,0,0,0,0,0,0,0,1,Atlantic-Congo
NC.NORTHERN_ATLANTIC.NON,0,0,0,0,0,0,0,1,Atlantic-Congo
AA.BIU_MANDARA.MUNJUK,0,0,0,0,0,0,0,1,Afro-Asiatic
IE.INDIC.MARATHI,1,1,1,1,1,1,1,1,Indo-European
NC.BANTOID.NONI,0,-,0,0,0,0,0,1,Atlantic-Congo
ST.NORTHERN_NAGA.NAGA_NOCTE,0,1,1,1,-,1,1,1,Sino-Tibetan
An.MALAYO_SUMBAWAN.MINANGKABAU,0,0,0,0,1,-,0,-,Austronesian
NC.BANTOID.NKORE_KIGA,0,0,0,0,0,0,0,1,Atlantic-Congo
AA.WEST_CHADIC.MIYA,0,0,1,0,0,0,0,-,Afro-Asiatic
Man.WESTERN_MANDE.BARALAKAKAN,0,1,0,1,0,1,-,1,Mande
NC.KWA.NKAMI,0,1,0,1,0,0,0,1,Atlantic-Congo
Niv.NIVKH.GILYAK_EAST_SAKHALIN,1,1,1,1,-,1,1,1,Nivkh
An.NORTHWEST_SUMATRA_BARRIER_ISLANDS.NIAS_SOUTHERN,0,0,0,0,-,0,0,0,Austronesian
NC.GBAYA_MANZA_NGBAKA.GBAYA_MBODOMO,1,0,0,0,0,0,0,1,Atlantic-Congo
ESu.NILOTIC.NUER,0,0,0,0,0,-,0,1,Nilotic
Man.WESTERN_MANDE.MALINKE,0,1,0,1,0,1,0,1,Mande
Tor.WAPEI_PALEI.OLO_YEBIL,0,0,0,-,0,0,0,1,Nuclear_Torricelli
ESu.SURMIC.MESENGO,1,1,0,0,0,0,0,0,Surmic
AA.SOUTH_OMOTIC.ARI,0,1,0,1,0,1,0,1,South_Omotic
An.BARITO.MALAGASY_SIHANAKA,0,0,-,0,0,0,0,0,Austronesian
An.OCEANIC.MAORI,0,0,-,0,0,0,0,0,Austronesian
Hok.YUMAN.MARICOPA,0,1,0,1,0,1,-,1,Cochimi-Yuman
Aus.IWAIDJAN.MAWNG,1,0,1,1,1,0,0,1,Iwaidjan_Proper
WP.NORTH_CENTRAL_BIRDS_HEAD.MAI_BRAT,0,0,0,-,0,0,0,1,Maybrat
NC.ADAMAWA.MUNDANG,0,0,0,0,0,0,0,1,Atlantic-Congo
NC.CROSS_RIVER.OBOLO,-,0,0,0,0,0,0,1,Atlantic-Congo
