,NA,PN,ND,NG,NNum,VO,NRc,VS,glot
Yka.YUKAGHIR.YUKAGHIR_TUNDRA,1,1,-,1,1,1,-,1,Yukaghir
Aus.WESTERN_DALY.MARANUNGGU,0,1,0,1,0,1,-,1,Western_Daly
TAP.MAKASAE_FATALUKU_OIRATA.MAKASAE,0,1,0,-,-,1,0,1,Timor-Alor-Pantar
An.OCEANIC.NIUE,0,0,-,0,1,0,0,0,Austronesian
Man.WESTERN_MANDE.MANDINKA,0,1,1,1,0,1,-,1,Mande
Pen.YOKUTS.YOKUTS_TINLINNEH,1,0,1,-,1,0,-,0,Yokutsan
ST.KUKI_CHIN.LUSHAI,0,1,-,1,0,1,-,1,Sino-Tibetan
Mis.MISUMALPAN.MISKITO,0,1,1,1,1,1,-,1,Misumalpan
Alt.TURKIC.SAKHA,1,1,1,1,-,1,1,1,Turkic
ST.KUKI_CHIN.KARBI,-,1,1,1,-,1,-,1,Sino-Tibetan
CSu.LENDU.NGITI,1,1,1,1,1,-,-,1,Central_Sudanic
ST.KUKI_CHIN.NAGA_MAO,0,-,-,1,0,1,1,1,Sino-Tibetan
HM.HMONG_MIEN.CHIANGRAI_MIEN,0,-,1,1,1,0,-,1,Hmong-Mien
Aus.PAMA_NYUNGAN.YINDJIBARNDI,-,-,1,1,1,0,-,1,Pama-Nyungan
Aus.PAMA_NYUNGAN.ARRERNTE_EASTERN,0,1,0,-,0,1,0,1,Pama-Nyungan
AA.SEMITIC.CLASSICAL_ARABIC,0,0,1,0,1,0,-,0,Afro-Asiatic
ST.BODIC.MAQU_TIBETAN,-,1,-,1,0,1,-,1,Sino-Tibetan
NC.UBANGI.NDUNGA,0,0,-,0,0,0,0,1,Atlantic-Congo
TNG.ANGAN.MENYA_2,0,1,0,1,0,1,-,1,Angan
Ane.ANEM.ANEM,0,0,0,-,0,0,-,1,Anem
HM.HMONG_MIEN.HUANGLUO_BUNU,0,-,0,1,1,0,-,1,Hmong-Mien
NC.ADAMAWA.DOOHWAAYAAYO,0,-,-,1,0,0,0,1,Atlantic-Congo
Tac.TACANAN.CAVINENA_1,0,1,-,1,1,-,0,-,Pano-Tacanan
NC.BANTOID.IWUM_WUUMBU_2,0,0,0,0,0,0,-,1,Atlantic-Congo
NC.BANTOID.M64_TONGA_2,0,-,0,0,0,0,0,1,Atlantic-Congo
NC.BANTOID.HAYA,0,0,0,-,0,0,0,1,Atlantic-Congo
Hua.HUAVEAN.HUAVE,1,0,1,0,-,0,0,0,Huavean
IE.SLAVIC.SLOVENIAN,1,0,1,-,1,0,-,1,Indo-European
UA.HOPI.HOPI,1,1,1,1,1,1,-,1,Uto-Aztecan
Mus.MUSKOGEAN.CREEK,0,1,1,1,0,1,-,1,Muskogean
NC.BANTOID.HUNDE,0,-,0,0,0,0,0,1,Atlantic-Congo
IE.INDIC.SHINA_2,1,1,1,1,1,1,-,1,Indo-European
ST.KUKI_CHIN.HMAR,0,1,-,1,0,1,-,1,Sino-Tibetan
Car.CARIBAN.HIXKARYANA,0,1,-,1,1,1,0,0,Cariban
An.GREATER_CENTRAL_PHILIPPINE.HILIGAYNON,-,0,1,0,1,0,-,0,Austronesian
Sio.SIOUAN.HIDATSA,0,1,0,1,-,1,0,1,Siouan
Yan.YANOMAM.SANIMA,0,1,1,1,-,1,-,1,Yanomamic
Wak.NORTHERN_WAKASHAN.HEILTSUK,1,0,1,0,-,0,0,0,Wakashan
Snt.SENTANI.SENTANI,0,1,1,1,0,1,-,1,Sentanic
ST.BURMESE_LOLO.DAZHAI_HANI,-,1,0,-,0,1,1,1,Sino-Tibetan
An.OCEANIC.PULO_ANNA,-,0,0,0,1,0,-,1,Austronesian
Tup.TUPI_GUARANI.KOKAMA,0,1,1,1,1,0,-,1,Tupian
LP.LAKES_PLAIN.IAU_2,-,1,0,1,0,1,0,1,Lakes_Plain
Tup.TUPI_GUARANI.TAPIETE,-,0,1,1,1,1,0,1,Tupian
Sko.WESTERN_SKOU.SKOU,0,1,0,1,0,1,-,1,Sko
CSu.BONGO_BAGIRMI.MODO,0,0,0,0,-,0,0,1,Central_Sudanic
NC.BANTOID.SOTHO_SUD,0,0,0,0,-,0,0,1,Atlantic-Congo
NC.BANTOID.ISANGU,0,-,0,0,0,0,0,1,Atlantic-Congo
ST.BODIC.SHERPA,0,1,1,1,0,1,-,1,Sino-Tibetan
Yan.YANOMAM.SHIRISHANA,0,1,1,1,1,1,-,1,Yanomamic
Pan.PANOAN.SHIPIBO,-,1,1,1,1,1,-,1,Pano-Tacanan
ESu.SURMIC.SURI_CHAI,0,1,-,0,0,-,-,1,Surmic
ESu.DAJU.SHATT,0,-,0,0,0,0,0,1,Dajuic
Aus.IWAIDJAN.IWAIDJA,1,-,1,1,1,0,-,1,Iwaidjan_Proper
CK.SOUTHERN_CHUKOTKO_KAMCHATKAN.N_ITELMEN,-,-,1,-,1,1,-,1,Chukotko-Kamchatkan
Car.CARIBAN.KALINA,1,1,1,1,1,1,-,1,Cariban
Pan.PANOAN.KASHIBO_BAJO_AGUAYTIA,0,1,1,1,0,1,-,1,Pano-Tacanan
An.SOUTH_HALMAHERA_WEST_NEW_GUINEA.IRARUTU,0,0,0,1,0,0,-,1,Austronesian
NC.BANTOID.L21_KETE_IPILA,0,0,0,-,0,0,0,1,Atlantic-Congo
IE.INDIC.TORWALI,1,1,1,1,1,1,-,1,Indo-European
Zap.ZAPAROAN.IQUITO,0,1,1,1,1,0,-,1,Zaparoan
Tru.TRUMAI.TRUMAI,-,1,1,1,1,-,-,1,Trumai
NDa.NAKH.INGUSH,1,1,1,1,1,-,1,1,Nakh-Daghestanian
NC.BANTOID.ILA,0,0,0,0,-,0,0,1,Atlantic-Congo
Chi.ARUAK.IKA,0,1,-,1,-,1,-,1,Chibchan
Ijo.IJOID.MEIN,1,-,1,1,1,1,1,1,Ijoid
OC.SIUSLAWAN.SIUSLAW,1,-,1,-,1,0,-,-,Siuslaw
ESu.EASTERN_JEBEL.INGASSANA,0,0,-,0,-,0,0,1,Eastern_Jebel
Tup.TUPI_GUARANI.GUARANI,0,1,1,1,1,0,-,1,Tupian
ST.MAHAKIRANTI.CHEPANG,1,-,1,1,1,1,1,1,Sino-Tibetan
NDa.AVAR_ANDIC_TSEZIC.SAGADIN_TSEZ,1,1,1,1,1,1,-,1,Nakh-Daghestanian
An.OCEANIC.TAKIA,0,1,0,1,-,1,0,1,Austronesian
An.NORTH_BORNEO.TATANA,0,-,0,0,1,0,0,0,Austronesian
NC.ADAMAWA.DAY,0,-,0,0,0,0,0,1,Atlantic-Congo
Tak.TAKELMA.TAKELMA,0,1,1,1,0,1,-,1,Takelma
IE.GERMANIC.EASTERN_FRISIAN,1,0,1,-,-,-,0,1,Indo-European
TNG.EASTERN_HIGHLANDS.FORE,1,1,1,1,0,1,-,1,Nuclear_Trans_New_Guinea
NC.GUR.DAGAARE,0,1,0,1,0,0,-,1,Atlantic-Congo
NC.GUR.DAGBANI,0,1,0,1,0,0,-,1,Atlantic-Congo
TNG.FASU.NAMUMI,0,1,0,1,0,1,-,1,Fasu
NC.BANTOID.KITABWA,0,0,-,0,0,0,-,1,Atlantic-Congo
ST.DIGAROAN.TARAON,0,1,-,1,0,1,1,1,Sino-Tibetan
Aus.PAMA_NYUNGAN.DIYARI,0,-,1,1,0,1,-,1,Pama-Nyungan
ST.MAHAKIRANTI.THANGMI,1,1,1,1,1,1,-,1,Sino-Tibetan
Tot.TOTONACAN.TEPEHUA_TLACHICHILCO,1,0,-,0,1,0,0,0,Totonacan
Bos.BOSAVI.EDOLO,0,1,0,1,0,1,-,1,Bosavi
ST.MAHAKIRANTI.DUMI_2,1,1,1,1,-,1,-,1,Sino-Tibetan
TNG.DUNA.DUNA,0,1,0,1,0,1,-,1,Duna
ST.BODO_GARO.DIMASA,0,1,1,-,0,1,1,1,Sino-Tibetan
ST.NUNGISH.DRUNG,-,1,1,1,0,1,-,1,Sino-Tibetan
An.CENTRAL_MALAYO_POLYNESIAN.TUGUN,0,-,0,1,0,0,0,1,Austronesian
NDa.LAK_DARGWA.SANZHI_DARGI,1,1,-,1,1,1,1,1,Nakh-Daghestanian
Nad.NADAHUP.DAW,0,1,1,1,1,1,-,1,Nadahup
Cay.CAYUVAVA.CAYUBABA,1,0,1,0,1,0,-,0,Cayuvava
UA.TARAHUMARAN.WARIHIO,-,1,1,1,0,-,-,-,Uto-Aztecan
UA.TAKIC.CUPENO,0,1,1,1,1,1,-,1,Uto-Aztecan
UC.URU_CHIPAYA.CHIPAYA,1,-,1,1,1,1,1,1,Uru-Chipaya
Aus.BUNUBAN.GOONIYANDI,0,-,1,-,1,1,-,1,Bunaban
An.OCEANIC.NORTH_MALO,0,-,0,0,0,0,0,1,Austronesian
AA.WEST_CHADIC.GOEMAI,0,0,0,0,0,0,-,1,Afro-Asiatic
NDa.AVAR_ANDIC_TSEZIC.GODOBERI,1,-,1,1,1,1,-,1,Nakh-Daghestanian
Arw.NORTHERN_ARAWAKAN.WAYUU,0,0,0,0,1,0,-,0,Arawakan
An.OCEANIC.SUDEST,0,-,0,1,0,0,0,1,Austronesian
TNG.BINANDEREAN.SUENA,0,1,0,1,0,1,-,1,Nuclear_Trans_New_Guinea
Aus.GUNWINYGIC.GUNBALANG_WARLANG,1,0,1,-,1,0,0,1,Gunwinyguan
Gum.GUMUZ.GUMUZ,-,0,0,0,-,0,0,1,Gumuz
TNG.CHIMBU.GOLIN,0,1,0,1,0,1,-,1,Nuclear_Trans_New_Guinea
IE.IRANIAN.TALYSH,1,1,1,1,1,1,0,-,Indo-European
ST.KUKI_CHIN.CHIN_TEDIM,0,1,1,1,0,1,-,1,Sino-Tibetan
AA.NORTH_OMOTIC.SHE,-,1,0,-,-,1,-,1,Ta-Ne-Omotic
Cht.CHITIMACHA.CHITIMACHA,0,1,-,1,0,1,0,1,Chitimacha
NC.BANTOID.PHUTI,-,-,1,0,-,0,0,-,Atlantic-Congo
Tuc.TUCANOAN.CUBEO,1,1,-,1,1,1,0,0,Tucanoan
TNG.OK.TELEFOL,0,1,-,1,0,1,-,1,Nuclear_Trans_New_Guinea
An.OCEANIC.TAIOF,0,-,0,0,1,0,0,1,Austronesian
An.GREATER_CENTRAL_PHILIPPINE.TAGALOG,-,-,-,0,1,0,0,0,Austronesian
ST.KUKI_CHIN.NAGA_SUMI,0,1,0,1,0,1,-,1,Sino-Tibetan
ST.BODIC.KINNAURI,1,1,1,1,1,1,-,1,Sino-Tibetan
An.ATAYALIC.HECUO_TAROKO,-,-,0,0,1,0,0,0,Austronesian
Tor.WAPEI_PALEI.URAT,0,-,0,0,0,0,0,1,Nuclear_Torricelli
ST.BODIC.WESTERN_BALTI,1,1,1,-,0,1,1,1,Sino-Tibetan
AuA.PALAUNG_KHMUIC.KHMU_2,0,0,0,0,0,0,-,1,Austroasiatic
Sio.SIOUAN.BILOXI,0,1,0,1,0,1,-,1,Siouan
TNG.KOIARIAN.MOUNTAIN_KOIARI,0,1,0,1,0,1,-,1,Koiarian
Tup.TUPI_GUARANI.URUBU_KAAPOR,0,1,1,1,1,1,-,1,Tupian
Chi.RAMA.RAMA,0,1,1,1,0,1,-,1,Chibchan
TNG.MADANG.KALAM,0,1,0,1,0,1,-,1,Nuclear_Trans_New_Guinea
An.OCEANIC.BANONI,0,0,1,0,0,0,-,1,Austronesian
Alt.MONGOLIC.BURIAT_MONGOLIA,1,1,1,1,1,1,-,1,Mongolic
IE.SLAVIC.UKRAINIAN,1,0,1,-,1,0,0,1,Indo-European
An.OCEANIC.LUSI,0,0,0,1,0,0,-,1,Austronesian
Ura.PERMIC.UDMURT,1,1,1,1,1,1,-,1,Uralic
ST.BODO_GARO.BODO_INDIA,1,-,1,1,0,1,1,1,Sino-Tibetan
Man.EASTERN_MANDE.BOKO,0,1,-,1,0,1,0,1,Mande
Tuc.TUCANOAN.KOREGUAYE,0,1,-,1,0,0,0,0,Tucanoan
Kiw.KIWAIAN.KIWAI_SOUTHERN,1,1,1,1,1,1,-,1,Kiwaian
KT.KIOWA_TANOAN.KIOWA,-,-,1,1,1,1,-,1,Kiowa-Tanoan
NC.BANTOID.RONGA,0,0,0,0,-,0,-,1,Atlantic-Congo
Tot.TOTONACAN.XICOTEPEC_TOTONAC,1,0,1,0,-,0,0,1,Totonacan
TNG.MADANG.WANUMA,0,1,0,1,0,1,-,1,Nuclear_Trans_New_Guinea
NC.GUR.KONNI,-,-,0,1,0,0,0,1,Atlantic-Congo
AuA.BAHNARIC.BRAO,0,0,0,0,0,0,-,1,Austroasiatic
NC.BANTOID.BAKUERI,0,-,1,0,0,0,0,1,Atlantic-Congo
Kad.KADUGLI.KATCHA,0,-,0,0,0,0,0,1,Kadugli-Krongo
Wsh.WASHO.WASHO,1,1,1,1,1,1,-,1,Washo
Sko.SERRA_HILLS.POKO_RAWO,0,-,0,1,0,-,-,1,Sko
CW.CHAPACURA_WANHAN.PAKAANOVA,-,0,0,0,-,0,0,0,Chapacuran
IE.ROMANCE.PORTUGUESE,0,0,1,0,-,0,0,1,Indo-European
CSu.BONGO_BAGIRMI.FURU,-,-,0,0,0,0,0,1,Central_Sudanic
Kad.KADUGLI.KRONGO,0,-,0,0,0,0,0,0,Kadugli-Krongo
WY.WAPPO.WAPPO,0,-,1,1,0,1,-,1,Yuki-Wappo
Kar.KAROK.KAROK,0,1,1,1,1,-,-,1,Karuk
Wao.WAORANI.WAORANI,-,1,1,1,-,1,-,1,Waorani
IE.INDIC.BHOIPURI,1,1,1,1,1,1,-,1,Indo-European
Mur.MURA.PIRAHA,0,1,0,1,0,1,-,1,Mura-Piraha
CSu.KRESH.GBAYA,1,0,-,0,1,0,0,1,Kresh-Aja
ST.BODIC.PURIK,1,1,1,-,0,1,1,1,Sino-Tibetan
Aus.PAMA_NYUNGAN.WIRRI,1,-,1,1,1,0,0,1,Pama-Nyungan
An.CENTRAL_LUZON.KAPAMPANGAN,-,0,-,0,1,0,0,0,Austronesian
Dra.SOUTH_CENTRAL_DRAVIDIAN.DORLI_GONDI,1,-,1,1,1,1,1,1,Dravidian
TNG.BINANDEREAN.BINANDERE,0,1,0,1,0,1,-,1,Nuclear_Trans_New_Guinea
NC.BANTOID.KOONGO,0,0,0,0,0,0,-,1,Atlantic-Congo
ST.BODO_GARO.KOK_BOROK_2,0,1,1,1,0,1,-,1,Sino-Tibetan
IE.IRANIAN.VAFSI,0,-,1,0,1,1,0,-,Indo-European
NC.BANTOID.GIKUYU_2,0,0,0,0,-,0,0,1,Atlantic-Congo
AuA.MUNDA.REMO,1,1,1,1,1,1,-,1,Austroasiatic
Tuc.TUCANOAN.TUCANO,-,1,1,-,1,1,1,1,Tucanoan
TNG.ANGAN.BARUYA_2,0,1,0,1,0,1,-,1,Angan
Sko.WARUPU.SUMO,0,-,0,0,0,1,0,1,Sko
IE.SLAVIC.CROATIAN,1,0,1,-,1,0,-,1,Indo-European
Yen.YENISEIAN.KET,1,1,1,1,1,1,-,1,Yeniseian
CSu.BONGO_BAGIRMI.KENGA,-,-,0,0,0,0,0,1,Central_Sudanic
Tup.RAMARAMA.KARO_BRAZIL,0,1,1,1,-,1,-,1,Tupian
AA.CENTRAL_CUSHITIC.KEMANT,1,1,1,1,-,1,1,1,Afro-Asiatic
ST.MAHAKIRANTI.KHALING,1,-,1,1,1,1,1,1,Sino-Tibetan
Sln.SALINAN.SALINAN,-,0,1,0,1,0,-,0,Salinan
IE.ROMANCE.ROMANSH_GRISHUN,0,-,1,0,1,0,0,1,Indo-European
Man.EASTERN_MANDE.BUSA_NIGERIA,0,1,-,1,0,1,0,1,Mande
Chi.TALAMANCA.BRIBRI,0,1,0,1,0,1,-,1,Chibchan
MGe.KARAJA.KARAJA,0,1,1,1,-,1,-,1,Nuclear-Macro-Je
Dra.SOUTHERN_DRAVIDIAN.TULU,1,1,1,1,1,1,-,1,Dravidian
NDa.LEZGIC.RUTUL,1,1,1,1,1,1,-,1,Nakh-Daghestanian
An.OCEANIC.ROVIANA,0,-,0,0,1,0,0,0,Austronesian
Aus.NDJEBBANA.DJEEBBANA,0,1,1,-,0,1,-,1,Maningrida
Hok.POMOAN.SOUTHEASTERN_POMO,-,1,1,1,1,1,-,1,Pomoan
ESu.NYIMANG.AMA_AFRICA,0,1,0,1,-,1,-,1,Nyimang
IE.INDIC.SAVI,1,1,1,1,-,1,-,1,Indo-European
ESu.NILOTIC.SHILLUK,0,0,-,0,0,0,-,1,Nilotic
Sio.SIOUAN.TUTELO,-,1,0,1,0,1,-,1,Siouan
Slv.PIAROA.PIAROA,0,-,1,1,0,1,-,1,Jodi-Saliban
Snt.SENTANI.TABLA_UNKNOWN_DIAL,0,1,1,-,0,1,-,1,Sentanic
AA.BERBER.TAMAHAQ_TAHAGGART,-,0,0,0,-,0,0,0,Afro-Asiatic
AA.WEST_CHADIC.RON_BOKKOS,-,-,0,0,0,0,0,1,Afro-Asiatic
NC.BANTOID.TWUMWU,0,-,0,0,0,-,-,1,Atlantic-Congo
AA.NORTH_OMOTIC.WOLAYTTA,1,-,1,1,1,1,-,1,Ta-Ne-Omotic
NC.BANTOID.KINYAMWEZI,0,-,0,0,0,0,-,-,Atlantic-Congo
An.OCEANIC.WEDAU,0,-,1,1,-,1,-,1,Austronesian
NC.BANTOID.TETELA,-,0,0,0,0,0,-,1,Atlantic-Congo
An.NORTHERN_LUZON.PANGASINAN,-,0,-,0,1,0,-,0,Austronesian
Oks.OKSAPMIN.OKSAPMIN,-,1,-,1,-,1,-,1,Nuclear_Trans_New_Guinea
ST.BODIC.THAKALI,1,-,1,1,0,1,-,1,Sino-Tibetan
Alg.WIYOT.WIYOT,0,-,1,1,-,-,-,1,Algic
TK.KAM_TAI.WANGMO_BOUYEI,0,-,0,0,1,0,-,1,Tai-Kadai
Sha.SHABO.SHABO,1,1,-,-,1,1,0,1,Shabo
Sal.INTERIOR_SALISH.THOMPSON,1,0,-,1,1,0,-,0,Salishan
ST.KUKI_CHIN.NAGA_ZEME,0,1,1,-,0,1,-,1,Sino-Tibetan
MZ.MIXE_ZOQUE.CHIAPAS_ZOQUE,1,-,1,1,-,0,-,0,Mixe-Zoque
AA.SEMITIC.TIGRIGNA,1,0,1,-,-,1,-,1,Afro-Asiatic
UA.TARAHUMARAN.CENTRAL_TARAHUMARA,1,1,1,-,-,1,0,1,Uto-Aztecan
Arw.NORTHERN_ARAWAKAN.YUCUNA,1,1,1,1,-,0,-,1,Arawakan
An.NORTHWEST_SUMATRA_BARRIER_ISLANDS.SIMALUR,0,0,0,0,-,0,-,0,Austronesian
NC.BANTOID.TIV_2,-,0,0,0,-,0,-,1,Atlantic-Congo
Teb.PAWAIAN.PAWAIA,1,1,1,-,0,1,-,1,Pawaia
Tac.TACANAN.TACANA,-,1,1,1,-,1,-,1,Pano-Tacanan
Alt.MONGOLIC.SANTA_MONGOLIAN,1,1,-,1,1,1,-,1,Mongolic
Tup.TUPI_GUARANI.SIRIONO,0,1,1,1,-,1,-,1,Tupian
AuA.ASLIAN.TEMIAR,0,0,0,-,-,0,0,1,Austroasiatic
Ura.SAMOYEDIC.SELKUP,1,-,1,1,1,1,-,1,Uralic
NDe.ATHAPASKAN.TANACROSS,0,1,1,1,-,1,-,1,Athapaskan-Eyak-Tlingit
NC.ADAMAWA.TUPURI,0,0,0,-,0,0,-,1,Atlantic-Congo
Alt.TUNGUSIC.UILTA,0,1,-,1,1,1,-,1,Tungusic
Alt.TUNGUSIC.UDEHE,1,1,-,1,-,1,-,1,Tungusic
UA.AZTECAN.NAHUATL_DEL_NORTE_DEL_ESTADO_DE_PUEBLA,-,-,1,-,1,0,-,1,Uto-Aztecan
Krd.HEIBAN.UTORO,0,-,0,0,0,0,-,1,Heibanic
TNG.FINISTERRE_HUON.NANKINA,0,1,-,1,0,1,-,1,Nuclear_Trans_New_Guinea
TNG.MADANG.ANGAUA,0,1,0,-,-,1,-,1,Nuclear_Trans_New_Guinea
AuA.NICOBARESE.NANCAWRI,0,0,1,0,-,0,-,0,Austroasiatic
IE.INDIC.SINHALA,1,1,-,-,-,1,0,1,Indo-European
Gcu.SOUTH_GUAICURUAN.TOBA,1,-,1,0,1,0,-,-,Guaicuruan
Tu.TU.KAM_KA_KE,0,-,1,1,0,0,-,1,Tuu
Ton.TONKAWA.TONKAWA,0,1,-,1,-,1,-,1,Tonkawa
LSR.LOWER_SEPIK.YIMAS,-,1,0,1,-,1,-,1,Lower_Sepik-Ramu
Aus.NGANDI.NGANDI,0,-,1,-,0,1,-,1,Gunwinyguan
Tuc.TUCANOAN.SIONA,1,-,1,1,1,1,-,1,Tucanoan
Aus.TANGKIC.GANGGALIDA,1,-,1,1,-,1,0,1,Tangkic
WP.NORTH_HALMAHERAN.TOBELO_2,-,0,0,1,0,1,-,1,North_Halmahera
Tun.TUNICA.TUNICA,0,1,-,1,-,1,0,1,Tunica
TO.ORYA.ORYA_2,0,1,0,1,-,1,-,1,Tor-Orya
GS.SUKI.SUKI,1,-,1,1,-,1,-,1,Suki-Gogodala
Aus.PAMA_NYUNGAN.WIK_MUNGKAN,0,-,0,1,0,1,-,1,Pama-Nyungan
Aus.ANSON_BAY.WADYGINY,0,1,-,1,0,1,-,1,Anson_Bay
TNG.EASTERN_HIGHLANDS.N_TAIRORA,-,-,1,1,0,1,-,1,Nuclear_Trans_New_Guinea
Iro.NORTHERN_IROQUOIAN.ONEIDA,-,-,1,-,-,0,-,0,Iroquoian
ST.QIANGIC.MAWO_QIANG,0,1,0,1,0,-,1,-,Sino-Tibetan
An.CENTRAL_MALAYO_POLYNESIAN.NGADHA,0,0,-,0,-,0,-,1,Austronesian
Chk.CHIMAKUAN.QUILEUTE,1,-,1,0,1,0,-,0,Chimakuan
Man.EASTERN_MANDE.WAN_2,0,1,-,1,0,1,-,1,Mande
Pen.MAIDUAN.NISENAN,1,-,1,1,-,1,-,1,Maiduan
ESu.TEMEIN.TEMEIN,0,-,0,0,0,0,-,1,Temein
Tu.TU.XOON,0,-,0,1,-,0,0,1,Tuu
Alt.TURKIC.TUVAN,1,1,1,1,-,1,-,1,Turkic
Krd.RASHAD.ORIG,0,-,0,0,0,1,-,1,Rashad
Aus.PAMA_NYUNGAN.PANYTYIMA,-,-,1,-,1,-,-,1,Pama-Nyungan
OM.ZAPOTECAN.ZAPOTEC_ZOOGOCHO,0,-,0,-,1,0,0,0,Otomanguean
OM.MIXTECAN.JICALTEPEC_MIXTEC,0,0,0,-,1,0,-,0,Otomanguean
NC.BANTOID.C831_ILEBO,0,0,0,-,-,0,0,1,Atlantic-Congo
Aus.PAMA_NYUNGAN.DJAMBARRPUYNGU,-,-,1,-,-,-,0,-,Pama-Nyungan
An.OCEANIC.LOU,0,0,0,0,-,0,-,1,Austronesian
TNG.DANI.UPPER_PYRAMID_DANI,-,1,0,1,-,1,0,1,Nuclear_Trans_New_Guinea
An.OCEANIC.LAMENU,-,-,-,0,0,0,0,1,Austronesian
TK.KAM_TAI.SOUTHERN_DONG,0,0,0,-,1,0,-,-,Tai-Kadai
Sal.INTERIOR_SALISH.LILLOOET,1,0,1,0,-,0,-,0,Salishan
TK.HLAI.BAODING_HLAI,0,0,0,-,1,0,-,1,Tai-Kadai
Sko.WESTERN_SKOU.LEITRE,0,-,0,1,0,1,-,1,Sko
NC.KWA.EGA,0,-,0,1,0,0,-,1,Atlantic-Congo
CSu.MANGBUTU_EFE.BALESE,0,-,0,-,0,-,-,1,Central_Sudanic
NC.BANTOID.NGELEMA_2,0,0,0,-,0,0,-,1,Atlantic-Congo
UA.CAHITA.EUDEVE,-,1,1,1,-,1,0,1,Uto-Aztecan
Aus.LARAGIYAN.LARRAKIA,0,1,-,0,0,1,-,1,Larrakiyan
Laal.LAAL.LAAL,0,0,0,0,-,0,-,1,Laal
Ura.PERMIC.KOMI_ZYRIAN,1,1,-,1,1,0,-,1,Uralic
Tup.TUPI_GUARANI.KAYABI,0,1,-,1,1,1,-,1,Tupian
KY.KARKAR_YURI.YURI,-,1,1,1,-,1,-,1,Pauwasi
NC.BANTOID.L32_KANYOK_1,0,0,0,0,0,-,0,-,Atlantic-Congo
TNG.ENGAN.KYAKA_ENGA,0,1,0,-,0,1,-,1,Nuclear_Trans_New_Guinea
AA.SOUTH_OMOTIC.DIME,0,1,0,-,0,1,-,1,South_Omotic
AA.LOWLAND_EAST_CUSHITIC.DAASANACH,0,-,0,1,0,1,-,1,Afro-Asiatic
NC.UBANGI.DONGO,0,-,0,0,0,-,-,1,Atlantic-Congo
IE.SLAVIC.MACEDONIAN,1,0,1,-,-,0,-,1,Indo-European
Arw.PRE_ANDINE_ARAWAKAN.AJYININKA_APURUCAYALI,0,-,-,1,-,0,0,-,Arawakan
Bar.BARBACOAN.CAYAPA,1,-,1,1,1,1,-,1,Barbacoan
NC.BANTOID.MBOSHI_NGOLO,0,-,0,0,0,0,-,1,Atlantic-Congo
AA.BIU_MANDARA.MADA_CAMEROON,0,-,0,0,0,0,-,1,Afro-Asiatic
MZ.MIXE_ZOQUE.LOWLAND_MIXE,1,0,1,1,1,-,0,-,Mixe-Zoque
NDe.ATHAPASKAN.CHIPEWYAN,-,1,1,-,1,1,0,1,Athapaskan-Eyak-Tlingit
AA.SEMITIC.ARAMAIC,0,0,1,0,1,-,0,-,Afro-Asiatic
NC.UBANGI.MA,1,-,-,0,0,0,-,1,Atlantic-Congo
CSu.MANGBETU.MANGBETU,0,-,-,-,0,0,-,1,Central_Sudanic
ST.MAHAKIRANTI.CAMLING,-,-,1,1,1,1,1,1,Sino-Tibetan
Kat.KATUKINAN.KANAMARI,0,1,1,1,-,-,0,-,Katukinan
Sio.SIOUAN.CROW,0,-,0,1,0,1,-,1,Siouan
NC.BANTOID.G65_KINGA,0,0,-,0,0,0,-,1,Atlantic-Congo
NC.EDOID.DEGEMA_2,-,-,0,-,0,0,0,1,Atlantic-Congo
Man.EASTERN_MANDE.MANN,0,1,-,1,0,1,-,1,Mande
NC.BANTOID.KONGO_SAN_SALVADOR_2,0,0,0,-,-,0,-,1,Atlantic-Congo
An.OCEANIC.GAPAPAIWA,-,1,-,1,0,1,0,1,Austronesian
TNG.GOILALAN.KUNIMAIPA,0,-,0,1,0,1,-,1,Goilalan
TNG.CHIMBU.KUMAN,0,1,1,-,0,1,-,1,Nuclear_Trans_New_Guinea
Alt.MONGOLIC.KALMYK,1,1,-,1,-,1,1,1,Mongolic
Hok.YUMAN.KILIWA,0,-,-,-,-,1,0,1,Cochimi-Yuman
ST.DIGAROAN.IDU_MISHMI,1,1,1,-,0,1,-,1,Sino-Tibetan
Mar.SOUTH_BIRDS_HEAD.INANWATAN,0,1,-,1,0,-,-,1,Inanwatan
Aus.PAMA_NYUNGAN.YANDRUWANDHA,0,1,0,-,0,1,-,1,Pama-Nyungan
NC.BANTOID.KINYARWANDA,0,0,1,-,0,0,-,1,Atlantic-Congo
Cah.CAHUAPANAN.JEBERO,1,-,1,0,-,-,0,-,Cahuapanan
NWC.NORTHWEST_CAUCASIAN.KABARDIAN,-,1,1,1,-,1,1,1,Abkhaz-Adyge
ST.BODO_GARO.KACHARI,-,1,1,-,0,1,-,1,Sino-Tibetan
LSR.MIKAREW.KIRE,0,1,-,-,0,1,-,1,Lower_Sepik-Ramu
IE.INDIC.ODIR_KHOWAR,1,1,-,1,-,1,1,1,Indo-European
AuA.MUNDA.KHARIA,-,1,1,-,1,1,-,1,Austroasiatic
Ele.TATE.KAKI_AE,0,-,1,1,0,1,-,1,Kaki_Ae
AA.BERBER.KABYLE_GREATER_KABYLIA_AT_MANGELLAT,0,0,-,0,-,0,0,0,Afro-Asiatic
Hui.HUITOTO.HUITOTO_MURUI,1,1,-,1,-,1,1,1,Huitotoan
